path,association,status,usage_note
03_ASSETS/01_VILLA_26_CENT_PROBABLE/villa_01_gate.jpg,Villa/pool cluster,Probable high confidence,Use only after confirming 26-cent listing association
03_ASSETS/01_VILLA_26_CENT_PROBABLE/villa_02_pool_main.jpg,Villa/pool cluster,Probable high confidence,Strong main still for this cluster
03_ASSETS/01_VILLA_26_CENT_PROBABLE/villa_03_pool_vertical.jpg,Villa/pool cluster,Probable high confidence,Vertical pool/property still
03_ASSETS/01_VILLA_26_CENT_PROBABLE/villa_04_side_path.jpg,Villa/pool cluster,Probable high confidence,Side/path area
03_ASSETS/01_VILLA_26_CENT_PROBABLE/villa_05_driveway.jpg,Villa/pool cluster,Probable high confidence,Driveway/exterior
03_ASSETS/01_VILLA_26_CENT_PROBABLE/villa_06_pool_overview.jpg,Villa/pool cluster,Probable high confidence,Pool overview with location stamp
04_VIDEOS/01_VILLA_PROBABLE/villa_walkthrough.mp4,Villa/pool cluster,Probable high confidence,Deduplicated clip
03_ASSETS/02_SLN_PLANTATIONS_CONFIRMED/sln_01_lychee_from_farm.jpg,SLN Plantations,Confirmed from PDF,SLN-specific
03_ASSETS/02_SLN_PLANTATIONS_CONFIRMED/sln_02_estate_plantation.jpg,SLN Plantations,Confirmed from PDF,SLN-specific
03_ASSETS/02_SLN_PLANTATIONS_CONFIRMED/sln_03_avocado_from_farm_a.jpg,SLN Plantations,Confirmed from PDF,SLN-specific
03_ASSETS/02_SLN_PLANTATIONS_CONFIRMED/sln_04_avocado_from_farm_b.jpg,SLN Plantations,Confirmed from PDF,SLN-specific
03_ASSETS/03_ABBELON_ESTATES_CONFIRMED/abbelon_01_layout_day.jpg,ABBELON Estates,Confirmed branded cluster,Illustrative marketing render only
03_ASSETS/03_ABBELON_ESTATES_CONFIRMED/abbelon_02_layout_night.jpg,ABBELON Estates,Confirmed branded cluster,Illustrative marketing render only
03_ASSETS/03_ABBELON_ESTATES_CONFIRMED/abbelon_03_layout_day_alt.jpg,ABBELON Estates,Confirmed branded cluster,Illustrative marketing render only
03_ASSETS/03_ABBELON_ESTATES_CONFIRMED/abbelon_04_technical_plan_photo.jpg,ABBELON Estates,Confirmed plan cluster,Reference only - not authoritative transcription source
03_ASSETS/03_ABBELON_ESTATES_CONFIRMED/abbelon_05_technical_plan_enhanced_reference.jpg,ABBELON Estates,Derived enhanced copy,Reference only - use original sanctioned plan for legal data
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_01_internal_road_tree_split.jpg,Unknown Coorg property,TBC,Generic only until client maps it
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_02_internal_road.jpg,Unknown Coorg property,TBC,Generic only until client maps it
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_03_internal_road_dense.jpg,Unknown Coorg property,TBC,Generic only until client maps it
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_04_internal_road_curve.jpg,Unknown Coorg property,TBC,Generic only until client maps it
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_05_landscaped_pond_road.jpg,Unknown Coorg property,TBC,Do not claim pond is part of a listing until confirmed
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_06_roadwork_jcb.jpg,Unknown Coorg property,TBC,Do not claim completed road development from image alone
03_ASSETS/04_FOREST_LAND_GENERIC_TBC/forest_07_waterfall.jpg,Unknown Coorg property,TBC,Do not claim private/on-site waterfall until confirmed
04_VIDEOS/02_GENERIC_COORG_TBC/coorg_mountain_scenic.mp4,Unknown Coorg property,TBC,Generic scenic footage until mapped
04_VIDEOS/02_GENERIC_COORG_TBC/coorg_waterfall.mp4,Unknown Coorg property,TBC,Generic until waterfall relationship is confirmed
04_VIDEOS/02_GENERIC_COORG_TBC/coorg_plantation_walkthrough.mp4,Unknown Coorg property,TBC,Generic plantation footage until mapped
04_VIDEOS/02_GENERIC_COORG_TBC/coorg_drone_1280x720_SMARA_mark.mp4,Unknown Coorg property,TBC,Confirm ownership/reuse rights; visible SMARA mark
03_ASSETS/05_SURVEY_AND_PLAN_TBC/hand_drawn_coloured_parcel_sketch.jpg,Unknown property,TBC,Internal/reference only until association and survey details confirmed
